external_id;full_name;phone;email;birth_date;city
crm-2966;РИМСКИЙ-КОРСАКОВ ИЛЬЯ ДМИТРИЕВИЧ;964 501 06 60; USER2097.ИЛЬЯ@MAIL.RU ;1.12.1975;Ростов-на-Дону г.
crm-2785;Андреева Ирина Сергеевна;+79597641032;user1975.ирин@mail.ru;1967-08-05;Краснодар
crm-637;ПОПОВ СЕРГЕЙ ВАСИЛЬЕВИЧ;79347834249;;24.01.1995;КРАСНОЯРСК
crm-1944;Лебедева Анна Михайловна;+79975775591;user1384.анна@mail.ru;1976-06-23;Новосибирск
crm-1385;Кузнецова Наталья Юрьевна;+79637310706;user985.ната@mail.ru;1997-10-20;Новосибирск
crm-421;Григорьев Владимир Андреевич;+79443184632;user297.влад@mail.ru;1968-11-08;Воронеж
crm-1558;Григорьев Павел Михайлович;+79100347902;user1114.паве@mail.ru;1993-04-23;Санкт-Петербург
crm-3645;Макарова Полина Игоревна;+79292177958;user2586.поли@mail.ru;1992-05-11;Воронеж
crm-3888;Васильев Валентин Александрович;+79605731540;user2762.вале@mail.ru;1989-02-18;Омск
crm-247;Макарова Светлана Олеговна;+79037232147;user171.свет@mail.ru;1978-01-18;Воронеж
crm-3470;Степанов Даниил Васильевич;+79551708601;user2469.дани@mail.ru;1961-10-01;Ростов-на-Дону
crm-951;КОЗЛОВ ЯРОСЛАВ ИВАНОВИЧ;; USER671.ЯРОС@MAIL.RU ;08/04/1962;г. Новосибирск
crm-2769;Фёдорова Светлана Петровна;+79781787242;user1963.свет@mail.ru;1986-09-27;Новосибирск
crm-549;Воробьёв Владимир Николаевич;+79977994099;user387.влад@mail.ru;1956-10-18;Самара
crm-1846;Андреев Денис Юрьевич;+79303896170;user1321.дени@mail.ru;1980-03-24;Самара
crm-4173;Семёнова Ксения;+79974197170; USER2960.КСЕН@MAIL.RU ;22.3.1962;НОВОСИБИРСК
crm-953;Васильев Игорь Игоревич;+79931185266;user673.игор@mail.ru;1963-10-06;Москва
crm-4081;Волкова Ольга Юрьевна;+79359120828;user2901.ольг@mail.ru;1967-05-21;Омск
crm-933;Фёдоров Сергей Борисович;+79855435653;user661.серг@mail.ru;1964-08-22;Новосибирск
crm-392;Воробьёва Елена Олеговна;+79718920411;user275.елен@mail.ru;1990-01-05;Санкт-Петербург
crm-2137;Соколов Егор Владимирович;+79801804156;user1527.егор@mail.ru;1957-09-26;Пермь
crm-1809;Яковлев Олег Николаевич;+79659947872;user1299.олег@mail.ru;1974-04-08;Санкт-Петербург
crm-3011;Римский-Корсаков Дмитрий Олегович;+79680406159;user2127.дмит@mail.ru;1990-05-12;Санкт-Петербург
crm-1807;Степанов Ярослав Евгеньевич;+79908228484;user1297.ярос@mail.ru;1971-05-08;Москва
crm-1357;Соколов Игорь Николаевич;+79380128568;user963.игор@mail.ru;1969-04-03;Нижний Новгород
crm-1894;Лебедева Юлия Владимировна;+79214735963;user1353.юлия@mail.ru;1968-03-08;Пермь
crm-942;Фёдорова Полина Игоревна;+79202002247;user667.поли@mail.ru;1962-12-03;Пермь
crm-2495;Кузнецов Вадим;8-983-9839939293; USER1778.ВАДИ@MAIL.RU ;28/04/1959;Воронеж г.
crm-1084;Кирилл Орлов;79675993091;USER762.КИРИ@MAIL.RU;05.08.1981;г. Санкт-Петербург
crm-4307;;;;99.99.9999;
crm-1167;Павлов Пётр Петрович;+79086890835;user827.пeтр@mail.ru;1979-05-23;Екатеринбург
crm-723;Волкова Светлана Петровна;+79089413770;user516.свет@mail.ru;1959-10-02;Краснодар
crm-3462;ПЕТРОВА МАРИЯ ПЕТРОВНА;+79423885231; USER2461.МАРИ@MAIL.RU ;1997-11-25;ЕКАТЕРИНБУРГ
crm-52;РОМАНОВ БОРИС БОРИСОВИЧ;+79328349426; USER31.БОРИ@MAIL.RU ;05/06/1975;Уфа г.
crm-2512;Соколов Алексей Игоревич;+79852942797;user1793.алек@mail.ru;1957-12-19;Воронеж
crm-2325;Иванов Олег Борисович;+79068260186;user1667.олег@mail.ru;1958-02-18;Санкт-Петербург
crm-3232;Михайлов Михаил Юрьевич;+79000499666;user2297.миха@mail.ru;1955-04-08;Воронеж
crm-3722;Попова Ирина Олеговна;+79420347312;user2643.ирин@mail.ru;1995-02-08;Красноярск
crm-3113;Александров Григорий Игоревич;+79711917536;user2207.григ@mail.ru;1970-03-01;Пермь
crm-259;ПЕТРОВ ЯРОСЛАВ ЮРЬЕВИЧ;8-996-9967100790; USER179.ЯРОС@MAIL.RU ;11.08.1982;г. Ростов-на-Дону
crm-1943;Кузнецов Андрей Иванович;+79094238091;user1383.андр@mail.ru;1961-02-02;Омск
crm-956;Попов Дмитрий Сергеевич;+79325208367;user676.дмит@mail.ru;1973-02-08;Ростов-на-Дону
crm-1559;Волков Кирилл Евгеньевич;+79672789579;user1115.кири@mail.ru;1979-02-25;Санкт-Петербург
crm-3994;Соловьёв Олег Андреевич;+79570562137;user2838.олег@mail.ru;1969-11-03;Пермь
crm-4010;Фёдорова Светлана Александровна;+79737173642;user2848.свет@mail.ru;1967-01-25;Уфа
crm-2715;Степанов Григорий Васильевич;+79475590792;user1923.григ@mail.ru;1977-02-15;Казань
crm-3086;Макаров Ярослав Викторович;+79959506199;user2183.ярос@mail.ru;1974-08-19;Волгоград
crm-1754;Орлова Мария Олеговна;+79256533917;user1262.мари@mail.ru;1982-03-22;Пермь
crm-3563;Александров Никита;+79832554143;;19.08.1997;РОСТОВ-НА-ДОНУ
crm-3940;Кузнецов Антон Павлович;+79195057750;user2797.анто@mail.ru;1982-04-14;Краснодар
crm-3390;Павлова Наталья Евгеньевна;+79157677053;user2405.ната@mail.ru;1959-08-10;Красноярск
crm-2150;Петров-Водкин Наталья Ивановна;+79300921042;user1537.ната@mail.ru;1995-03-14;Красноярск
crm-3650;Козлов Дмитрий Борисович;+79492265237;user2590.дмит@mail.ru;1964-11-24;Самара
crm-608;Андреев Алексей Игоревич;+79995526708;user430.алек@mail.ru;1956-04-25;Екатеринбург
crm-202;Волков Денис Евгеньевич;+79733547756;user137.дени@mail.ru;1982-05-03;Омск
crm-1175;КОЗЛОВ НИКОЛАЙ АЛЕКСЕЕВИЧ;;USER832.НИКО@MAIL.RU;1995-11-10;г. Самара
crm-4297;???;12345;;99.99.9999;
crm-1450;Тимофей Смирнов;+79452137189;;08.01.1993;САМАРА
crm-3704;СОЛОВЬЁВА ЕЛЕНА ИВАНОВНА;;USER2627.ЕЛЕН@MAIL.RU;6.12.1990;г. Новосибирск
crm-1817;Воробьёв Вадим Сергеевич;+79769749781;user1305.вади@mail.ru;1992-05-07;Нижний Новгород
crm-1308;Лебедев Александр Иванович;+79907720585;user928.алек@mail.ru;1983-11-12;Ростов-на-Дону
crm-1968;Александров  Виктор  Сергеевич;8-976-9763400693;USER1401.ВИКТ@MAIL.RU;23/10/1969;Омск г.
crm-1882;Новиков Константин Юрьевич;+79705910731;user1342.конс@mail.ru;1957-01-24;Санкт-Петербург
crm-848;Романов Ёвгёний Пётрович;961 306 45 92; USER605.ЕВГЕ@MAIL.RU ;1956-02-27;ВОРОНЕЖ
crm-2862;Смирнов Виктор Борисович;+79140893895;user2029.викт@mail.ru;1967-12-20;Омск
crm-1356;Новиков Евгений Иванович;+79487445666;user962.евге@mail.ru;1979-05-23;Екатеринбург
crm-2866;Кузнецова Наталья Петровна;+79605085383;user2032.ната@mail.ru;1971-08-04;Воронеж
crm-2606;Кузнецов Вадим Борисович;+79557369673;user1855.вади@mail.ru;1961-11-06;Волгоград
crm-451;Кузнецов Игорь Евгеньевич;+79123201215;user318.игор@mail.ru;1988-05-27;Омск
crm-1607;Зайцева Юлия Николаевна;+79152711603;user1147.юлия@mail.ru;1962-11-17;Краснодар
crm-1923;Михайлова Вера Борисовна;+79510657081;user1371.вера@mail.ru;1974-06-28;Краснодар
crm-370;Соколова София Олеговна;+79954845635;user257.софи@mail.ru;1972-02-04;Краснодар
crm-982;Николаева Мария Дмитриевна;+79631907628;user691.мари@mail.ru;1994-06-06;Воронеж
crm-216;Иванов Дмитрий Дмитриевич;+79050770468;user149.дмит@mail.ru;1961-12-08;Омск
crm-918;Борисов Максим Михайлович;+79778460098;user649.макс@mail.ru;1986-05-25;Пермь
crm-256;КУЗНЕЦОВ АЛЕКСЕЙ ИГОРЕВИЧ;8-921-9211932786;;13/08/1997;Ростов-на-Дону г.
crm-3656;Семёнова Татьяна Евгеньевна;+79798628216;user2593.тать@mail.ru;1993-02-06;Красноярск
crm-4254;???;;;31.02.1990;
crm-2524;Петров-Водкин Илья Сергеевич;+79284646085;user1801.илья@mail.ru;1955-02-01;Новосибирск
crm-2757;НИКИТИНА ВИКТОРИЯ АНДРЕЕВНА;;USER1952.ВИКТ@MAIL.RU;12.5.1956;Уфа г.
crm-1637;Петров-Водкин Григорий Игоревич;+79491431592;user1170.григ@mail.ru;1971-02-04;Волгоград
crm-3364;Павлов  Вадим  Дмитриевич;8-931-9319736551; USER2384.ВАДИ@MAIL.RU ;17.5.1976;г. Казань
crm-2122;ВОЛКОВ ВЛАДИМИР АЛЕКСАНДРОВИЧ;958 238 74 58;;11.6.1998;Новосибирск г.
crm-3024;Сергеев Александр Викторович;+79232589966;user2133.алек@mail.ru;1973-07-08;Москва
crm-949;Козлов Ярослав Иванович;+79746371283;user671.ярос@mail.ru;1962-04-08;Новосибирск
crm-1631;Смирнова Ксения Михайловна;+79058453821;user1164.ксен@mail.ru;1985-08-06;Екатеринбург
crm-1550;Павлов Пётр Борисович;+79965996605;user1108.пeтр@mail.ru;1972-04-03;Екатеринбург
crm-333;Васильёв Борис Олёгович;+79918703774;;06.10.1988;г. Нижний Новгород
crm-1112;ПЕТРОВ ИВАН ПАВЛОВИЧ;79652465902; USER786.ИВАН@MAIL.RU ;18.10.1963;г. Уфа
crm-3459;Романов Денис Петрович;+79941535183;user2460.дени@mail.ru;1988-01-04;Красноярск
crm-3219;Петров Игорь Иванович;+79858732492;user2290.игор@mail.ru;1995-08-14;Новосибирск
crm-99;Степанов Никита Петрович;+79196634443;user70.ники@mail.ru;1973-10-02;Воронеж
crm-3535;Иванов Александр Алексеевич;+79715780421;user2512.алек@mail.ru;1973-11-19;Красноярск
crm-793;Сергеева Татьяна Михайловна;+79946511365;user563.тать@mail.ru;1969-04-01;Красноярск
crm-4102;Козлова Виктория Петровна;+79921873842;user2915.викт@mail.ru;1973-05-03;Краснодар
crm-967;Соколов Валентин Игоревич;+79139541078;user681.вале@mail.ru;1993-09-22;Волгоград
crm-1066;Григорьев Ярослав Александрович;+79038852836;user749.ярос@mail.ru;1974-02-20;Самара
crm-2206;Семёнова Виктория Викторовна;+79919108726;user1580.викт@mail.ru;1998-01-08;Самара
crm-581;ПЕТРОВ-ВОДКИН ИВАН ПЕТРОВИЧ;79712234368;USER411.ИВАН@MAIL.RU;16/07/1969;Красноярск г.
crm-2035;Павлов Михаил;8-936-9360577312; USER1455.МИХА@MAIL.RU ;01/01/1969;г. Волгоград
crm-3632;Зайцев Дмитрий Юрьевич;+79312697541;user2577.дмит@mail.ru;1974-03-23;Нижний Новгород
crm-2764;Макарова Юлия Алёксёёвна;+79713982035; USER1958.ЮЛИЯ@MAIL.RU ;2.3.1984;г. Уфа
crm-588;Козлова София Ивановна;+79129856642;user416.софи@mail.ru;1985-08-13;Красноярск
crm-4185;Кузнецова Дарья Евгеньевна;+79513119337;user2968.дарь@mail.ru;1961-11-05;Красноярск
